run_id,iteration,individual_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,class_weight_power,focal_gamma,learning_rate,dropout,hidden_size,num_layers,weight_decay,label_smoothing,batch_size,all_hold_weight,entry_exit_weight,scheduler_patience,input_seq_length,class_weight_power_lower,focal_gamma_lower,learning_rate_lower,dropout_lower,hidden_size_lower,num_layers_lower,weight_decay_lower,label_smoothing_lower,batch_size_lower,all_hold_weight_lower,entry_exit_weight_lower,scheduler_patience_lower,input_seq_length_lower,class_weight_power_upper,focal_gamma_upper,learning_rate_upper,dropout_upper,hidden_size_upper,num_layers_upper,weight_decay_upper,label_smoothing_upper,batch_size_upper,all_hold_weight_upper,entry_exit_weight_upper,scheduler_patience_upper,input_seq_length_upper,pop_size,iterations,n_workers,min_features,epochs_per_eval,np_neighbors,pf_max,elitist_selection,elitist_constant,fitness
cd5e43cc,-1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1.624480671017413,2.623963770026314,0.007116753763341642,0.3667103534353531,172.27999117686886,1.7024186075213665,0.004151199048989936,0.07587440097533171,100.69176578579683,4.033867446057984,1.5496714561372724,13.741653314416697,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.001975842345681008
cd5e43cc,-1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0.8381959544625457,3.3025130951273125,0.00028722681082250437,0.3570123047433255,199.82973314765962,1.1619732776953546,0.0025839533332152886,0.1422928715138036,103.53607493027356,2.754920802040818,1.6230964627491176,14.3159499405907,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.0015591544566804603
cd5e43cc,-1,2,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1.2011814499555338,2.5249932213425423,0.006368619151572913,0.27964081922858824,227.5533186380243,2.5697007542184975,0.006872734449234774,0.001709785698936539,42.79143411164972,4.626515345379782,2.945957997220612,12.639616665107498,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.001975842345681008
cd5e43cc,-1,3,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1.389599618047843,2.6323013824194166,0.0062758453729491025,0.2332612242192897,153.92626670989503,2.8057991794710384,0.003193221700304565,0.052876844756467235,45.866431472465095,2.019779335501096,1.050036553747192,10.852525417948689,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.001975842345681008
cd5e43cc,-1,4,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0.7748274249729148,3.1404285064705064,0.000550721088277258,0.46940029633555985,147.3456746581677,2.641071969403632,0.0035742143939866324,0.1268008986902581,101.72871703934804,2.2441165513742325,1.2415728212130592,13.887759106114828,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.0
cd5e43cc,-1,5,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1.2472561241753688,2.538463423622879,0.0011686734269086058,0.46800777220966366,181.29828607960562,2.1218198778605886,0.006977533881599711,0.11917648602012386,83.54232252928117,1.9659427422935742,2.3644780990956438,10.908452241075384,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.001975842345681008
cd5e43cc,-1,6,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1.8139372471611699,1.5902677511782826,0.008718232334789208,0.23258185820721466,81.56480855604235,1.6000452390756068,0.009414197573374165,0.04105653105177929,64.20712516945173,1.1753335583150362,1.4879167892552116,13.963238859118924,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.001975842345681008
cd5e43cc,-1,7,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0.8378952654120639,4.300754017933608,0.0023195906514460176,0.4348599443349517,228.76091316467338,1.3495922802096558,0.0016559178270765262,0.04483149592828875,125.32587879255983,4.183153265669694,1.8337673615873569,8.301438805749942,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.002960690348555579
cd5e43cc,-1,8,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1.0640520980902548,4.232700152963568,0.001294604281935075,0.24049896441493696,39.40152672573258,1.1453496652830781,0.009093133161286475,0.06393612103487652,118.94068670764158,3.8148603262860354,1.733459461982998,10.666718590722756,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.00324080860539303
cd5e43cc,-1,9,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0.8823074670145336,2.1207828322336457,0.006226750509220059,0.4426722851180108,53.892643217017635,2.7623266082535816,0.0018086240170771216,0.1454632484768814,92.82557676230874,4.808022233338575,2.0876126075756725,10.045852722970178,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.001975842345681008
cd5e43cc,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1.0640520980902548,4.232700152963568,0.001294604281935075,0.24049896441493696,39.40152672573258,1.1453496652830781,0.009093133161286475,0.06393612103487652,118.94068670764158,3.8148603262860354,1.733459461982998,10.666718590722756,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.00324080860539303
cd5e43cc,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0.8378952654120639,3.8222732291611603,0.002010529279861244,0.3800692311049226,218.93430223230462,1.1292852944141833,0.0006379731913633221,0.03476407347735358,111.81471587781722,3.9223314423674775,1.8337673615873569,6.604011243783327,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.003842722747308173
cd5e43cc,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1.389599618047843,2.6323013824194166,0.0062758453729491025,0.2332612242192897,153.92626670989503,2.8057991794710384,0.003193221700304565,0.052876844756467235,45.866431472465095,2.019779335501096,1.050036553747192,10.852525417948689,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.001975842345681008
cd5e43cc,0,3,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1.624480671017413,2.623963770026314,0.007116753763341642,0.3667103534353531,172.27999117686886,1.7024186075213665,0.004151199048989936,0.07587440097533171,100.69176578579683,4.033867446057984,1.5496714561372724,13.741653314416697,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.001975842345681008
cd5e43cc,0,4,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0.9288624155119919,1.5902677511782826,0.000257259506594101,0.3984700714659637,81.56480855604235,2.6974704768668163,0.003879810102610089,0.04105653105177929,64.20712516945173,1.2200247881703756,1.0,14.19297604591146,12.0,0.5,1.0,0.0001,0.2,32,1,0.0001,0.0,32,1.0,1.0,5,12,2.0,5.0,0.01,0.5,256,3,0.01,0.2,128,5.0,3.0,15,12,10,50,10,5,100,1,0.1,True,0.3,-0.002147530491596422
