date,open,high,low,close,volume,signal,signal_pct_change,period_id,tradeable,TRIX_gs_trix,BOP_gs_bop,ROC_gs_roc,MOM_gs_mom,AROON_gs_aroondown,AROON_gs_aroonup,AROONOSC_gs_aroonosc,PPO_gs_ppo,APO_gs_apo,MACDFIX_gs_macd,MACDFIX_gs_macdsignal,MACDFIX_gs_macdhist,MINUS_DM_gs_minus_dm,ULTOSC_gs_ultosc,MACD_gs_macd,MACD_gs_macdsignal,MACD_gs_macdhist,PLUS_DM_gs_plus_dm,ROCP_gs_rocp,MACDEXT_gs_macd,MACDEXT_gs_macdsignal,MACDEXT_gs_macdhist,ROCR_gs_rocr,CMO_gs_cmo,MFI_gs_mfi,DEMA_gs_dema,SMA_gs_sma_fast,SMA_gs_sma_slow,KAMA_gs_kama,TEMA_gs_tema,TRIMA_gs_trima,EMA_gs_ema_fast,EMA_gs_ema_slow,SAR_gs_sar,WMA_gs_wma,HT_TRENDLINE_gs_ht_trendline,T3_gs_t3,MAMA_gs_mama,MAMA_gs_fama,MIDPOINT_gs_midpoint,MIDPRICE_gs_midprice,SAREXT_gs_sarext,OBV_gs_obv,OBV_gs_obv_sma,AD_gs_ad,AD_gs_ad_sma,ADOSC_gs_adosc,MA_gs_ma,ATR_gs_atr,RSI_gs_rsi,TRANGE_gs_trange,BBANDS_gs_upperband,BBANDS_gs_middleband,BBANDS_gs_lowerband,HT_PHASOR_gs_inphase,HT_PHASOR_gs_quadrature,HT_SINE_gs_sine,HT_SINE_gs_leadsine,HT_TRENDMODE_gs_ht_trendmode,STOCH_gs_slowk,STOCH_gs_slowd,CCI_gs_cci,NATR_gs_natr,WILLR_gs_willr,ROCR100_gs_rocr100,PLUS_DI_gs_plus_di,ADXR_gs_adxr,ADX_gs_adx,STOCHF_gs_fastk,STOCHF_gs_fastd,DX_gs_dx,STOCHRSI_gs_fastk,STOCHRSI_gs_fastd,HT_DCPERIOD_gs_ht_dcperiod,HT_DCPHASE_gs_ht_dcphase,MINUS_DI_gs_minus_di
2025-10-01 00:00:00+00:00,0.23294,0.23357,0.23124,0.23231,23368663.0,,,,hold,,-0.27038626609442906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23368663.0,,-1905599.1287556014,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
2025-10-01 01:00:00+00:00,0.23232,0.23394,0.23186,0.23384,27159561.0,,,,hold,,0.7307692307692282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23124,,,,,,,,0.23124,50528224.0,,22642465.621243957,,,,,,0.0020799999999999985,,,,,,,,0,,,,,,,,,,,,,,,,,
2025-10-01 02:00:00+00:00,0.23384,0.23429,0.23263,0.23278,30529765.0,,,,hold,,-0.6385542168674752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231537,,,,,,,,0.231267,19998459.0,,-2369871.9691180773,,,,,59.07335907335901,0.0016599999999999948,,,,,,,,0,,,,,,,,,,50.4918032786881,50.4918032786881,,,,,,
2025-10-01 03:00:00+00:00,0.23277,0.23301,0.2307,0.23075,20623882.0,,,,hold,,-0.8744588744588694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23429,,,,,,,,-0.23429,-625423.0,,-22100945.22452894,,,,,23.007518796992667,0.0023100000000000065,,,,,,,,0,,,,,,,,,,1.3927576601677467,1.3927576601677467,,,,,,
2025-10-01 04:00:00+00:00,0.23075,0.23357,0.23034,0.23254,25283475.0,,,,hold,,0.5541795665634613,,,,,,,,,,,0.001930000000000015,,,,,0.0012800000000000034,,,,,,,,,,,,,0.23248555555555553,,,0.23429,0.23226866666666668,,,,,0.232295,0.232315,-0.23429,24658052.0,23585595.0,-12942534.775612526,-3335297.0953542376,,,,62.92541636495298,0.0032300000000000106,,,,,,,,0,55.69620253164563,55.69620253164563,-38.85853066180869,,-44.30379746835437,,,,,55.69620253164563,55.69620253164563,,,,,,
2025-10-01 05:00:00+00:00,0.23255,0.23408,0.23255,0.23326,20916526.0,,,,hold,,0.4640522875816907,,,80.0,40.0,-40.0,,,,,,0.001544000000000012,,,,,0.0015340000000000132,,,,,1.0040893633506953,13.323983169705613,83.52490202268878,,,,,,0.23222111111111107,,,0.23034,0.23254066666666665,,,,,0.232295,0.232315,-0.234211,45574578.0,28026778.0,-14446337.298488704,-5843444.729300858,1052280.85629642,,,73.83750638732761,0.0015400000000000136,,,,,,,,0,73.92405063291137,73.92405063291137,60.30573908537247,,-26.075949367088626,,,,,78.07486631016015,78.07486631016015,,,,,,
2025-10-01 06:00:00+00:00,0.23325,0.23371,0.23209,0.23227,21324097.0,,,,hold,,-0.6049382716049397,,,60.0,20.0,-40.0,,,,,,0.0016952000000000256,,,,,0.0012272000000000105,,,,,0.9932860075265139,-3.435912757693258,64.73200719816421,,,,0.2332554916660583,,0.23229888888888886,,,0.23034,0.23241933333333334,,,,,0.23200500000000002,0.232315,-0.23413358,24250481.0,22771229.4,-31031746.07626616,-16578287.068802882,1755049.4103763103,,,40.80768144591934,0.0016200000000000103,,,,,,,,0,48.860759493671154,48.860759493671154,13.132654566916251,,-51.13924050632884,,,,,51.60427807486642,51.60427807486642,,,,,,
2025-10-01 07:00:00+00:00,0.23227,0.2339,0.23214,0.23346,14968373.0,,,,hold,,0.676136363636368,0.4950281950841573,0.0011500000000000121,40.0,0.0,-40.0,,,,,,0.0013561600000000205,,,,,0.0011717600000000041,0.004950281950841601,,,,1.0029212131626428,15.37004216830674,59.391634592283715,,,,0.23325729589921637,,0.23262333333333332,,,0.2307514,0.23279933333333333,,,,,0.232105,0.23221,-0.23408,39218854.0,26615308.4,-23547559.57626616,-20813824.5902325,1566163.7065689936,,,71.47911280446331,0.0017599999999999838,,,,,,,,0,83.42245989304797,83.42245989304797,68.57443292774545,0.8689160578135147,-16.57754010695203,,,,,68.84422110552747,68.84422110552747,,,,,,
2025-10-01 08:00:00+00:00,0.23345,0.24228,0.2333,0.24227,167002113.0,,,,hold,,0.9821826280623646,3.6050290797126294,0.00843000000000002,20.0,100.0,80.0,,,,,,0.0010849280000000165,,,,,0.009317408000000003,0.03605029079712633,,,,1.0499241603466956,68.4514486521585,91.61304526229796,0.23868142222222224,,,0.23494298731901378,,0.23389555555555552,,,0.231117546,0.23607066666666665,,,,,0.23727,0.23631,0.23034,206220967.0,67984586.4,143082611.0785229,12222886.67037787,-6607710.346097685,,,96.71127987071067,0.008979999999999988,,,,,,,,0,99.91624790619781,99.91624790619781,166.66666666666532,1.2472170112111385,-0.08375209380219632,,,,,99.90186457311107,99.90186457311107,65.72774761855953,,,,,
2025-10-01 09:00:00+00:00,0.24227,0.24484,0.24092,0.24395,183652012.0,,,,hold,,0.42857142857142455,4.798522209811851,0.011170000000000013,0.0,100.0,100.0,,,,,,0.0008679424000000132,,,,,0.010013926400000008,0.04798522209811845,,,,1.0490668272125225,72.5547126994903,94.93494661715707,0.24220429794238685,,0.234743,0.23805843517862238,,0.23629666666666663,,0.234743,0.23214,0.23913399999999999,,,,,0.23811,0.23846499999999998,0.23045939999999998,389872979.0,141027571.8,243341617.62954324,63479717.15140903,-14644963.98350206,,,97.54097399016861,0.003920000000000007,0.23901817496717875,0.234743,0.23046782503282126,,,,,0,93.01960784313724,93.01960784313724,116.77720628045472,1.2912362555773933,-6.980392156862753,,,,,92.99212598425196,92.99212598425196,72.35526704042462,,,,,
